experiment,bootstrap_type,dataset,preprocessing,classifier,h_mean
fairboost,none,german,Reweighing,Random Forest,"[0.8609056380804877, 0.8381304858836179, 0.7649434965007739, 0.8079708275905662, 0.8729326202923271, 0.8594355064074414, 0.8431785665162232, 0.8081643815263606, 0.8768929686407902, 0.7726281182817707]"
fairboost,none,german,"LFR,OptimPreproc",Logistic Regression,"[0.8483954079568938, 0.8186069034396138, 0.8854968198111396, 0.8381113510585588, 0.756738777942542, 0.8087313117860305, 0.8335961531372493, 0.8536462151291648, 0.8356719837911367, 0.7323906505178316]"
fairboost,none,german,"LFR,OptimPreproc",Random Forest,"[0.8129397098096879, 0.7849759160036803, 0.7681174474568055, 0.8415684885710055, 0.8160495311709122, 0.7764661964581648, 0.7764706969096543, 0.7631863417127044, 0.8470973082012876, 0.6469247117923617]"
fairboost,none,german,"OptimPreproc,Reweighing",Logistic Regression,"[0.8930469912821603, 0.8135024116444227, 0.8718073222226661, 0.8106919582638744, 0.80873235033606, 0.8367042991863042, 0.8476873364005487, 0.8523011802923937, 0.8223356890202715, 0.8109873340454754]"
fairboost,none,german,"OptimPreproc,Reweighing",Random Forest,"[0.8253533525101817, 0.85368837363116, 0.7430093209054593, 0.792906755389391, 0.7585096558143974, 0.8012912870622136, 0.7543564014603367, 0.7861797451339281, 0.8169707235989098, 0.7467715122108672]"
fairboost,none,german,"LFR,Reweighing",Logistic Regression,"[0.8964442166338162, 0.8232425859327266, 0.8854968198111396, 0.867957364666387, 0.8045401007396696, 0.8434105880924168, 0.8340389604417532, 0.8560311284046692, 0.8790694575043868, 0.7623477743414381]"
fairboost,none,german,"LFR,Reweighing",Random Forest,"[0.8683460155484811, 0.8515302228143136, 0.7891085982859769, 0.7534540600132548, 0.8012869677261014, 0.8006764935446269, 0.7987980272104581, 0.8133066043936501, 0.8381104974725812, 0.7591883602699913]"
fairboost,none,german,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.8560235102797539, 0.8186069034396138, 0.8854968198111396, 0.8381113510585588, 0.7782302495903337, 0.8343238234612326, 0.8335961531372493, 0.8560311284046692, 0.8419480366337802, 0.7561657286058383]"
fairboost,none,german,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.8125314119820994, 0.7702888460667092, 0.7748410685716697, 0.8341727544558167, 0.8027958815115864, 0.7720931487223448, 0.7412661465149502, 0.7918010415040024, 0.8408833990460173, 0.6749090511228425]"
fairboost,default,german,OptimPreproc,Logistic Regression,"[0.8732313126432382, 0.8279471900923004, 0.8888888888888888, 0.8545331413579791, 0.7556067885245958, 0.8078869031588547, 0.8502806140600542, 0.8494216407684944, 0.8246365157672831, 0.818588240216654]"
